G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,"Wed, Dec 23, 2020",7:00p,,Box Score,@,Indiana Pacers,L,,107,121,0,1,L 1,
2,"Sat, Dec 26, 2020",7:30p,,Box Score,,Philadelphia 76ers,L,,89,109,0,2,L 2,
3,"Sun, Dec 27, 2020",7:30p,,Box Score,,Milwaukee Bucks,W,,130,110,1,2,W 1,
4,"Tue, Dec 29, 2020",7:00p,,Box Score,@,Cleveland Cavaliers,W,,95,86,2,2,W 2,
5,"Thu, Dec 31, 2020",7:30p,,Box Score,@,Toronto Raptors,L,,83,100,2,3,L 1,
6,"Sat, Jan 2, 2021",7:00p,,Box Score,@,Indiana Pacers,W,,106,102,3,3,W 1,
7,"Mon, Jan 4, 2021",7:30p,,Box Score,@,Atlanta Hawks,W,,113,108,4,3,W 2,
8,"Wed, Jan 6, 2021",7:30p,,Box Score,,Utah Jazz,W,,112,100,5,3,W 3,
9,"Fri, Jan 8, 2021",7:30p,,Box Score,,Oklahoma City Thunder,L,,89,101,5,4,L 1,
10,"Sun, Jan 10, 2021",6:00p,,Box Score,,Denver Nuggets,L,,89,114,5,5,L 2,
11,"Mon, Jan 11, 2021",7:00p,,Box Score,@,Charlotte Hornets,L,,88,109,5,6,L 3,
12,"Wed, Jan 13, 2021",7:30p,,Box Score,,Brooklyn Nets,L,,109,116,5,7,L 4,
13,"Fri, Jan 15, 2021",7:30p,,Box Score,@,Cleveland Cavaliers,L,,103,106,5,8,L 5,
14,"Sun, Jan 17, 2021",1:00p,,Box Score,@,Boston Celtics,W,,105,75,6,8,W 1,
15,"Mon, Jan 18, 2021",12:00p,,Box Score,,Orlando Magic,W,,91,84,7,8,W 2,
16,"Thu, Jan 21, 2021",10:00p,,Box Score,@,Golden State Warriors,W,,119,104,8,8,W 3,
17,"Fri, Jan 22, 2021",10:00p,,Box Score,@,Sacramento Kings,L,,94,103,8,9,L 1,
18,"Sun, Jan 24, 2021",10:00p,,Box Score,@,Portland Trail Blazers,L,,113,116,8,10,L 2,
19,"Tue, Jan 26, 2021",9:00p,,Box Score,@,Utah Jazz,L,,94,108,8,11,L 3,
20,"Fri, Jan 29, 2021",7:30p,,Box Score,,Cleveland Cavaliers,W,,102,81,9,11,W 1,
21,"Sun, Jan 31, 2021",1:00p,,Box Score,,Los Angeles Clippers,L,,115,129,9,12,L 1,
22,"Mon, Feb 1, 2021",8:00p,,Box Score,@,Chicago Bulls,L,,102,110,9,13,L 2,
23,"Wed, Feb 3, 2021",8:00p,,Box Score,@,Chicago Bulls,W,,107,103,10,13,W 1,
24,"Sat, Feb 6, 2021",1:00p,,Box Score,,Portland Trail Blazers,W,,110,99,11,13,W 2,
25,"Sun, Feb 7, 2021",1:00p,,Box Score,,Miami Heat,L,,103,109,11,14,L 1,
26,"Tue, Feb 9, 2021",7:30p,,Box Score,@,Miami Heat,L,,96,98,11,15,L 2,
27,"Fri, Feb 12, 2021",7:00p,,Box Score,@,Washington Wizards,W,,109,91,12,15,W 1,
28,"Sat, Feb 13, 2021",8:00p,,Box Score,,Houston Rockets,W,,121,99,13,15,W 2,
29,"Mon, Feb 15, 2021",7:30p,,Box Score,,Atlanta Hawks,W,,123,112,14,15,W 3,
30,"Wed, Feb 17, 2021",7:00p,,Box Score,@,Orlando Magic,L,,89,107,14,16,L 1,
31,"Sun, Feb 21, 2021",7:00p,,Box Score,,Minnesota Timberwolves,W,,103,99,15,16,W 1,
32,"Tue, Feb 23, 2021",7:30p,,Box Score,,Golden State Warriors,L,,106,114,15,17,L 1,
33,"Thu, Feb 25, 2021",7:30p,,Box Score,,Sacramento Kings,W,,140,121,16,17,W 1,
34,"Sat, Feb 27, 2021",8:00p,,Box Score,,Indiana Pacers,W,,110,107,17,17,W 2,
35,"Sun, Feb 28, 2021",8:00p,,Box Score,@,Detroit Pistons,W,,109,90,18,17,W 3,
36,"Tue, Mar 2, 2021",8:30p,,Box Score,@,San Antonio Spurs,L,,93,119,18,18,L 1,
