player_id,player_name
,
,
,
,
A.C. Green,A.C.
Aaron McKie,Aaron
Aaron Williams,Aaron
Acie Earl,Acie
Adam Keefe,Adam
Adrian Caldwell,Adrian
Alan Henderson,Alan
Aleksandar Djordjevic,Aleksandar
Allan Houston,Allan
Allen Iverson,Allen
Alonzo Mourning,Alonzo
Alton Lister,Alton
Amal McCaskill,Amal
Andrew DeClercq,Andrew
Andrew Lang,Andrew
Anfernee Hardaway,Anfernee
Anthony Goldwire,Anthony
Anthony Mason,Anthony
Anthony Miller,Anthony
Anthony Peeler,Anthony
Antoine Carr,Antoine
Antoine Walker,Antoine
Antonio Davis,Antonio
Antonio Harvey,Antonio
Antonio Lang,Antonio
Antonio McDyess,Antonio
Armen Gilliam,Armen
Arvydas Sabonis,Arvydas
Ashraf Amaya,Ashraf
Avery Johnson,Avery
B.J. Armstrong,B.J.
Ben Davis,Ben
Ben Wallace,Ben
Benoit Benjamin,Benoit
Bill Wennington,Bill
Billy Owens,Billy
Bimbo Coles,Bimbo
Bison Dele,Bison
Blue Edwards,Blue
Bo Outlaw,Bo
Bob Sura,Bob
Bobby Hurley,Bobby
Bobby Phills,Bobby
Brad Lohaus,Brad
Brent Barry,Brent
Brent Price,Brent
Brent Scott,Brent
Brett Szabo,Brett
Brian Evans,Brian
Brian Grant,Brian
Brian Shaw,Brian
Brooks Thompson,Brooks
Bruce Bowen,Bruce
Bryant Reeves,Bryant
Bryant Stith,Bryant
Bryon Russell,Bryon
Buck Williams,Buck
Byron Scott,Byron
Calbert Cheaney,Calbert
Carl Herrera,Carl
Carl Thomas,Carl
Carlos Rogers,Carlos
Cedric Ceballos,Cedric
Charles Barkley,Charles
Charles Jones,Charles
Charles Oakley,Charles
Charles Smith,Charles
Charlie Ward,Charlie
Cherokee Parks,Cherokee
Chris Carr,Chris
Chris Childs,Chris
Chris Dudley,Chris
Chris Gatling,Chris
Chris Jent,Chris
Chris Mills,Chris
Chris Morris,Chris
Chris Mullin,Chris
Chris Robinson,Chris
Chris Webber,Chris
Chris Whitney,Chris
Christian Laettner,Christian
Chucky Brown,Chucky
Clar. Weatherspoon,Clar.
Clifford Robinson,Clifford
Clifford Rozier,Clifford
Clyde Drexler,Clyde
Corie Blount,Corie
Corliss Williamson,Corliss
Cory Alexander,Cory
Craig Ehlo,Craig
Cuonzo Martin,Cuonzo
Dale Davis,Dale
Dale Ellis,Dale
Damon Stoudamire,Damon
Dan Majerle,Dan
Dan Schayes,Dan
Dana Barros,Dana
Danny Ferry,Danny
Danny Manning,Danny
Darrell Armstrong,Darrell
Darrick Martin,Darrick
Darrin Hancock,Darrin
Darvin Ham,Darvin
David Robinson,David
David Vaughn,David
David Wesley,David
David Wingate,David
David Wood,David
Dean Garrett,Dean
Dee Brown,Dee
Dell Curry,Dell
Dell Demps,Dell
Dennis Rodman,Dennis
Dennis Scott,Dennis
Derek Fisher,Derek
Derek Harper,Derek
Derek Strong,Derek
Derrick Alston,Derrick
Derrick Coleman,Derrick
Derrick McKey,Derrick
Detlef Schrempf,Detlef
Devin Gray,Devin
Dexter Boney,Dexter
Dickey Simpkins,Dickey
Dikembe Mutombo,Dikembe
Dino Radja,Dino
